ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
000977.SZ,20240630,IT终端及散件,P,61603921.25,3685147.62,57918773.63,CNY
000988.SZ,20251231,租赁及其他,P,131227151.02,39723190.28,91503960.74,CNY
000988.SZ,20251231,激光加工装备及智能制造产线,P,3635910536.06,1069054537.8,2566855998.26,CNY
000988.SZ,20251231,激光全息膜类系列产品,P,463927420.99,144208725.18,319718695.81,CNY
000988.SZ,20251231,敏感元器件,P,4026871536.33,984896319.8,3041975216.53,CNY
000988.SZ,20251231,光电器件,P,6096823863.78,808211364.31,5288612499.47,CNY
000988.SZ,20250630,租赁及其他,P,54811366.64,22095949.57,32715417.07,CNY
000988.SZ,20250630,激光加工装备及智能制造产线,P,1676245048.49,538067626.23,1138177422.26,CNY
000988.SZ,20250630,激光加工装备,P,1676245048.49,538067626.23,1138177422.26,CNY
000988.SZ,20250630,激光全息膜类系列产品,P,211238265.61,69180531.99,142057733.62,CNY
000988.SZ,20250630,敏感元器件,P,1942469080.73,507761417.7,1434707663.03,CNY
000988.SZ,20250630,光电器件,P,3744236438.36,407032956.16,3337203482.2,CNY
000988.SZ,20241231,租赁及其他,P,147330475.4,21012974.92,126317500.48,CNY
000988.SZ,20241231,激光加工装备及智能制造产线,P,3491679275.05,1081281926.79,2410397348.26,CNY
000988.SZ,20241231,激光加工装备,P,3491679275.05,1081281926.79,2410397348.26,CNY
000988.SZ,20241231,激光全息膜类系列产品,P,427156944.89,143528209.76,283628735.13,CNY
000988.SZ,20241231,敏感元器件,P,3668190667.34,942743699.25,2725446968.09,CNY
000988.SZ,20241231,光电器件,P,3974818104.16,334279176.19,3640538927.97,CNY
000988.SZ,20240630,租赁及其他,P,34555689.28,10105218.03,24450471.25,CNY
000988.SZ,20240630,激光加工装备及智能制造产线,P,1727241560.98,609375981.8,1117865579.18,CNY
000988.SZ,20240630,激光加工装备,P,1727241560.98,609375981.8,1117865579.18,CNY
000988.SZ,20240630,激光全息膜类系列产品,P,199070524.41,53142803.33,145927721.08,CNY
000988.SZ,20240630,敏感元器件,P,1644486447.31,421586587.91,1222899859.4,CNY
000988.SZ,20240630,光电器件,P,1594755842.91,124608252.81,1470147590.1,CNY
002008.SZ,20251231,其他智能制造装备,P,12985930595.47,4215474226.17,8770456369.3,CNY
002008.SZ,20251231,PCB及自动化配套设备,P,5772935488.47,2027505498.5,3745429989.97,CNY
002008.SZ,20250630,其他智能制造装备,P,5231014259.58,1634827024.47,3596187235.11,CNY
002008.SZ,20250630,PCB及自动化配套设备,P,2381833154.55,721269178.69,1660563975.86,CNY
002008.SZ,20241231,其他智能制造装备,P,11428123956.22,3763819688.24,7664304267.98,CNY
002008.SZ,20241231,PCB及自动化配套设备,P,3343091397.82,939827346.64,2403264051.18,CNY
002008.SZ,20240630,其他智能制造装备,P,4790847090.97,1687474338.79,3103372752.18,CNY
002008.SZ,20240630,PCB及自动化配套设备,P,1564362861.12,457868037.25,1106494823.87,CNY
002025.SZ,20251231,连接器及互连一体化产品,P,3984202412.52,1158367831.05,2825834581.47,CNY
002025.SZ,20251231,继电器,P,240396878.54,107882355.63,132514522.91,CNY
002025.SZ,20251231,电机与控制组件,P,1357940460.07,416515798.47,941424661.6,CNY
002025.SZ,20251231,其他业务,P,105547892.11,63953003.55,41594888.56,CNY
002025.SZ,20251231,光通信器件,P,131746730.01,34008670.61,97738059.4,CNY
002025.SZ,20250630,连接器及互连一体化产品,P,2064717364.02,586621475.73,1478095888.29,CNY
002025.SZ,20250630,连接器,P,2064717364.02,586621475.73,1478095888.29,CNY
002025.SZ,20250630,继电器,P,99455687.85,47292777.35,52162910.5,CNY
002025.SZ,20250630,电机与控制组件,P,660073195.05,247474889.37,412598305.68,CNY
002025.SZ,20250630,电机,P,660073195.05,247474889.37,412598305.68,CNY
002025.SZ,20250630,其他业务,P,52681131.63,42189805.46,10491326.17,CNY
002025.SZ,20250630,光通信器件,P,58057717.28,13801896.55,44255820.73,CNY
002025.SZ,20250630,光器件,P,58057717.28,13801896.55,44255820.73,CNY
002025.SZ,20241231,连接器及互连一体化产品,P,3388179514.4,1310411512.74,2077768001.66,CNY
002025.SZ,20241231,连接器,P,3388179514.4,1310411512.74,2077768001.66,CNY
002025.SZ,20241231,继电器,P,248528518.01,117078030.37,131450487.64,CNY
002025.SZ,20241231,电机与控制组件,P,1116261735.8,397526325.36,718735410.44,CNY
002025.SZ,20241231,电机,P,1116261735.8,397526325.36,718735410.44,CNY
002025.SZ,20241231,其他业务,P,127186950.9,65897555.93,61289394.97,CNY
002025.SZ,20241231,光通信器件,P,144724170.61,35618253.25,109105917.36,CNY
002025.SZ,20241231,光器件,P,144724170.61,35618253.25,109105917.36,CNY
002025.SZ,20240630,连接器及互连一体化产品,P,1877635398.5,915314685.45,962320713.05,CNY
002025.SZ,20240630,连接器,P,1877635398.5,915314685.45,962320713.05,CNY
002025.SZ,20240630,继电器,P,137524298.34,91935303.09,45588995.25,CNY
002025.SZ,20240630,电机与控制组件,P,754071097.0,322927869.57,431143227.43,CNY
002025.SZ,20240630,电机,P,754071097.0,322927869.57,431143227.43,CNY
002025.SZ,20240630,其他业务,P,73125840.27,40092032.02,33033808.25,CNY
002025.SZ,20240630,光通信器件,P,78989267.45,17894896.18,61094371.27,CNY
002025.SZ,20240630,光器件,P,78989267.45,17894896.18,61094371.27,CNY
002085.SZ,20251231,飞机制造,P,2745901723.21,535964043.02,2209937680.19,CNY
002085.SZ,20251231,汽车金属轻量化零部件,P,13241272304.46,2175394286.44,11065878018.02,CNY
002085.SZ,20250630,飞机制造,P,1437521497.05,351675221.91,1085846275.14,CNY
002085.SZ,20250630,汽车金属轻量化零部件,P,6056298816.44,1039923105.59,5016375710.85,CNY
002085.SZ,20241231,飞机制造,P,2814092174.98,695329971.34,2118762203.64,CNY
002085.SZ,20241231,汽车金属轻量化零部件,P,13450161784.1,1992868060.57,11457293723.53,CNY
002085.SZ,20240630,飞机制造,P,1282514821.35,323804255.6,958710565.75,CNY
