chain_name,chain_id,code,name,product,tier,total_score,pct_chg,price,pre_close,amount_yi,time,moat_score,growth_score,profit_score,stage_score,evidence_score
未来空间/商业航天,future_space,300101.SZ,振芯科技,北斗/卫星,第二梯队,73.0,-0.8469449485783457,16.39,16.53,1.1131719001,10:52:51,19.0,0.0,8.0,18.0,18.0
未来空间/商业航天,future_space,688066.SH,*ST航图,卫星应用,第二梯队,71.0,-1.7751479289940901,11.62,11.83,0.27165816,10:52:51,19.0,0.0,5.0,18.0,18.0
未来能源,future_energy,002594.SZ,比亚迪,电池/储能,第二梯队,67.7,3.4940768218260163,86.49,83.57,36.146423815300004,10:52:51,16.0,0.3,3.3,18.0,18.0
未来能源,future_energy,300035.SZ,中科电气,负极材料,第二梯队,74.7,1.4114326040931495,14.37,14.17,1.1195127453,10:52:51,16.0,6.6,4.2,18.0,18.0
未来能源,future_energy,300750.SZ,宁德时代,储能/固态电池,第一梯队,85.9,1.0853929645612599,386.5,382.35,41.3220200556,10:52:51,16.0,14.7,10.2,18.0,18.0
未来能源,future_energy,300274.SZ,阳光电源,储能逆变器,观察池,53.7,0.5553817271589548,128.55,127.84,37.4903559108,10:52:51,16.0,1.3,12.0,6.0,6.4
未来能源,future_energy,688599.SH,天合光能,钙钛矿/光伏,第二梯队,64.7,-2.585604472396932,13.94,14.31,2.8687115,10:52:51,16.0,1.7,0.0,18.0,18.0
未来能源,future_energy,002407.SZ,多氟多,钠电/电解液,第一梯队,89.9,-9.99635169646114,49.34,54.82,63.161055398100004,10:52:51,16.0,15.0,10.9,18.0,18.0
核聚变能,nuclear_fusion,002130.SZ,沃尔核材,核级材料/超导线材线索,观察池,61.5,2.7257240204429327,18.09,17.61,3.2253445432,10:52:51,20.0,5.7,10.6,6.0,7.2
核聚变能,nuclear_fusion,600416.SH,湘电股份,电磁/特种装备,第二梯队,73.3,1.842374616171952,9.95,9.77,1.34836423,10:52:50,22.0,0.0,4.3,18.0,18.0
核聚变能,nuclear_fusion,600522.SH,中天科技,超导/电缆,观察池,62.4,1.3377278014734488,52.27,51.58,63.32334203,10:52:50,22.0,8.1,6.3,6.0,8.0
核聚变能,nuclear_fusion,601611.SH,中国核建,核工程建设,第二梯队,70.5,1.0280373831775813,10.81,10.7,1.64304484,10:52:50,22.0,0.0,0.5,18.0,18.0
核聚变能,nuclear_fusion,000777.SZ,中核科技,核电阀门,第二梯队,70.8,0.9554140127388521,19.02,18.84,2.2611291838,10:52:51,22.0,0.0,2.8,18.0,12.0
核聚变能,nuclear_fusion,600378.SH,昊华科技,特种气体/材料,第一梯队,95.0,-7.314104904466356,76.16,82.17,57.54289597,10:52:51,22.0,13.3,7.7,18.0,18.0
