code,date,name,reason
301580,2026-06-22,爱迪特,封单金额不足7亿
300179,2026-06-22,四方达,封单金额不足7亿
002655,2026-06-22,共达电声,封单金额不足7亿
600769,2026-06-22,祥龙电业,封单金额不足7亿
000571,2026-06-22,新大洲A,封单金额不足7亿
002648,2026-06-23,卫星化学,封单金额不足7亿
002674,2026-06-23,兴业科技,封单金额不足7亿
002167,2026-06-23,东方锆业,封单金额不足7亿
603407,2026-06-23,长裕集团,封单金额不足7亿
600777,2026-06-23,新潮能源,封单金额不足7亿
603757,2026-06-23,大元泵业,封单金额不足7亿
605069,2026-06-23,正和生态,封单金额不足7亿
300665,2026-06-23,飞鹿股份,封单金额不足7亿
600397,2026-06-23,江钨装备,封单金额不足7亿
600667,2026-06-25,太极实业,昨日已涨停
002674,2026-06-25,兴业科技,封单金额不足7亿
600228,2026-06-25,返利科技,封单金额不足7亿
605366,2026-06-25,宏柏新材,封单金额不足7亿
603929,2026-06-25,亚翔集成,封单金额不足7亿
002674,2026-06-26,兴业科技,封单金额不足7亿
600228,2026-06-26,返利科技,封单金额不足7亿
000823,2026-06-26,超声电子,封单金额不足7亿
002568,2026-06-26,百润股份,封单金额不足7亿
603956,2026-06-26,威派格,封单金额不足7亿
002407,2026-06-29,多氟多,封单金额不足7亿
688689,2026-06-29,银河微电,封单金额不足7亿
002549,2026-06-29,凯美特气,封单金额不足7亿
301520,2026-06-29,万邦医药,封单金额不足7亿
001237,2026-06-29,惠康科技,封单金额不足7亿
000521,2026-06-29,长虹美菱,封单金额不足7亿
