date,rank,cb_code,cb_name,stk_code,stk_name,theme_score,concepts,trigger_sources,risk_notes,ret_oc_pct,high_from_open_pct,low_from_open_pct,relation_reason
2026-06-09,33,128122.SZ,兴森转债,002436,兴森科技,1066.1878,6G概念、PCB概念、中证500成份股、先进封装、军工、商业航天、存储芯片、芯片概念、融资融券、近期强势,605589,公告到期赎回；退市日期2025-07-23,,,,命中6G概念、PCB概念、中证500成份股、先进封装、军工、商业航天、存储芯片、芯片概念、融资融券、近期强势
2026-06-09,34,110082.SH,宏发转债,600885,宏发股份,966.1878,上证380成份股、中证500成份股、储能、商业航天、新能源汽车、沪股通、社保新进、融资融券、风电,605589,强赎中；退市日期2025-12-12,,,,命中上证380成份股、中证500成份股、储能、商业航天、新能源汽车、沪股通、社保新进、融资融券、风电
2026-06-09,35,111010.SH,立昂转债,605358,立昂微,966.1878,中证500成份股、商业航天、存储芯片、最近多板、沪股通、硅能源、芯片概念、融资融券、近期强势,605589,强赎中；成交额偏低51.2万；退市日期2026-06-18,9.492142382135722,10.001650024750363,-4.242063630954469,命中中证500成份股、商业航天、存储芯片、最近多板、沪股通、硅能源、芯片概念、融资融券、近期强势
2026-06-09,36,113008.SH,电气转债,601727,上海电气,966.1878,储能、固态电池、大飞机、核电、沪股通、融资融券、锂电池概念、风电、高端装备,605589,退市日期2021-02-02,,,,命中储能、固态电池、大飞机、核电、沪股通、融资融券、锂电池概念、风电、高端装备
2026-06-09,37,113014.SH,林洋转债,601222,林洋能源,966.1878,上证380成份股、储能、光伏建筑一体化、增持计划、沪股通、绿色电力、融资融券、锂电池概念、风电,605589,退市日期2021-09-29,,,,命中上证380成份股、储能、光伏建筑一体化、增持计划、沪股通、绿色电力、融资融券、锂电池概念、风电
2026-06-09,38,113505.SH,杭电转债,603618,杭电股份,966.1878,储能、新能源汽车、沪股通、石墨烯、融资融券、近期强势、锂电池概念、风电、高贝塔值,605589,公告到期赎回；退市日期2024-03-06,,,,命中储能、新能源汽车、沪股通、石墨烯、融资融券、近期强势、锂电池概念、风电、高贝塔值
2026-06-09,39,113512.SH,景旺转债,603228,景旺电子,966.1878,6G概念、OLED、PCB概念、上证380成份股、中证500成份股、商业航天、新能源汽车、沪股通、融资融券,605589,退市日期2019-04-30,,,,命中6G概念、OLED、PCB概念、上证380成份股、中证500成份股、商业航天、新能源汽车、沪股通、融资融券
2026-06-09,40,113562.SH,璞泰转债,603659,璞泰来,966.1878,中证500成份股、储能、固态电池、新能源汽车、沪股通、芯片概念、融资融券、钠离子电池、锂电池概念,605589,退市日期2020-12-21,,,,命中中证500成份股、储能、固态电池、新能源汽车、沪股通、芯片概念、融资融券、钠离子电池、锂电池概念
2026-06-09,41,113602.SH,景20转债,603228,景旺电子,966.1878,6G概念、OLED、PCB概念、上证380成份股、中证500成份股、商业航天、新能源汽车、沪股通、融资融券,605589,强赎中；退市日期2024-08-13,,,,命中6G概念、OLED、PCB概念、上证380成份股、中证500成份股、商业航天、新能源汽车、沪股通、融资融券
2026-06-09,42,113619.SH,世运转债,603920,世运电路,966.1878,OLED、PCB概念、上证380成份股、中证500成份股、储能、商业航天、新能源汽车、沪股通、融资融券,605589,强赎中；退市日期2024-12-03,,,,命中OLED、PCB概念、上证380成份股、中证500成份股、储能、商业航天、新能源汽车、沪股通、融资融券
2026-06-09,43,113621.SH,彤程转债,603650,彤程新材,966.1878,OLED、上证380成份股、中证500成份股、光刻胶、存储芯片、沪股通、石墨烯、芯片概念、融资融券,605589,强赎中；退市日期2025-11-14,,,,命中OLED、上证380成份股、中证500成份股、光刻胶、存储芯片、沪股通、石墨烯、芯片概念、融资融券
2026-06-09,44,113669.SH,景23转债,603228,景旺电子,966.1878,6G概念、OLED、PCB概念、上证380成份股、中证500成份股、商业航天、新能源汽车、沪股通、融资融券,605589,强赎中；退市日期2025-10-09,,,,命中6G概念、OLED、PCB概念、上证380成份股、中证500成份股、商业航天、新能源汽车、沪股通、融资融券
2026-06-09,45,113691.SH,和邦转债,603077,和邦生物,966.1878,上证380成份股、丙烯酸、中证500成份股、建筑节能、沪股通、硅能源、绿色电力、融资融券、锂电池概念,605589,成交额偏低2.1万；剩余规模45.99亿,2.2435538116591913,2.6268217488789203,-0.9970571748878937,命中上证380成份股、丙烯酸、中证500成份股、建筑节能、沪股通、硅能源、绿色电力、融资融券、锂电池概念
2026-06-09,46,118000.SH,嘉元转债,688388,嘉元科技,966.1878,PCB概念、上证380成份股、储能、固态电池、新能源汽车、沪股通、融资融券、锂电池概念、高贝塔值,605589,强赎中；退市日期2026-04-02,,,,命中PCB概念、上证380成份股、储能、固态电池、新能源汽车、沪股通、融资融券、锂电池概念、高贝塔值
2026-06-09,47,118002.SH,天合转债,688599,天合光能,966.1878,中证500成份股、储能、光伏建筑一体化、商业航天、增持计划、沪股通、绿色电力、融资融券、锂电池概念,605589,强赎中；退市日期2022-04-13,,,,命中中证500成份股、储能、光伏建筑一体化、商业航天、增持计划、沪股通、绿色电力、融资融券、锂电池概念
2026-06-09,48,118005.SH,天奈转债,688116,天奈科技,966.1878,上证380成份股、储能、固态电池、增持计划、沪股通、石墨烯、融资融券、钠离子电池、锂电池概念,605589,成交额偏低0.3万,-0.5014772818014853,0.3537491016529568,-0.9821927653118293,命中上证380成份股、储能、固态电池、增持计划、沪股通、石墨烯、融资融券、钠离子电池、锂电池概念
2026-06-09,49,118019.SH,金盘转债,688676,金盘科技,966.1878,上证380成份股、中证500成份股、储能、新能源汽车、核电、沪股通、融资融券、风电、高端装备,605589,强赎中；退市日期2024-05-28,,,,命中上证380成份股、中证500成份股、储能、新能源汽车、核电、沪股通、融资融券、风电、高端装备
2026-06-09,50,118024.SH,冠宇转债,688772,珠海冠宇,966.1878,中证500成份股、储能、固态电池、新能源汽车、沪股通、融资融券、钠离子电池、锂电池概念、高贝塔值,605589,成交额偏低1.3万；剩余规模30.89亿,-0.4059476044371059,0.5640783573282973,-1.0526315789473635,命中中证500成份股、储能、固态电池、新能源汽车、沪股通、融资融券、钠离子电池、锂电池概念、高贝塔值
