trade_date,month,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_code,stk_name,matched_concepts,trigger_sources,theme_score,relation_reason,risk_notes,open,close,return_pct
2026-01-15,2026-01,1,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),127038.SZ,国微转债,002049,紫光国微,数字货币、移动支付,002049,1221.7126,正股为触发股，命中数字货币、移动支付,成交额偏低25.9万；剩余规模14.92亿,157.0,151.339,-3.6057
2026-01-15,2026-01,4,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),123157.SZ,科蓝转债,300663,科蓝软件,数字货币、移动支付,002049,221.7126,命中数字货币、移动支付,成交额偏低1.0万,159.8,154.574,-3.2703
2026-01-15,2026-01,5,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),123196.SZ,正元转02,300645,正元智慧,数字货币、移动支付,002049,221.7126,命中数字货币、移动支付,成交额偏低0.4万,142.202,140.262,-1.3643
2026-01-15,2026-01,7,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),110074.SH,精达转债,600577,精达股份,移动支付,002049,121.7126,命中移动支付,成交额偏低12.7万,486.7,513.783,5.5646
2026-01-15,2026-01,8,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),118021.SH,新致转债,688590,新致软件,数字货币,002049,121.7126,命中数字货币,强赎中；成交额偏低7.2万；退市日期2026-03-25,300.326,292.977,-2.447
2026-01-15,2026-01,9,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),118057.SH,甬矽转债,688362,甬矽电子,数字货币,002049,121.7126,命中数字货币,强赎中；成交额偏低13.4万；退市日期2026-06-16,245.0,246.787,0.7294
2026-01-19,2026-01,3,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110074.SH,精达转债,600577,精达股份,机器人概念、股权转让(并购重组),002931,222.9257,命中机器人概念、股权转让(并购重组),成交额偏低12.4万,530.6,551.996,4.0324
2026-01-19,2026-01,9,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),113698.SH,凯众转债,603037,凯众股份,机器人概念、股权转让(并购重组),002931,222.9257,命中机器人概念、股权转让(并购重组),成交额偏低1.8万,181.08,183.183,1.1614
2026-01-19,2026-01,13,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),123054.SZ,思特转债,300608,思特奇,机器人概念、股权转让(并购重组),002931,222.9257,命中机器人概念、股权转让(并购重组),强赎中；成交额偏低0.3万；退市日期2026-06-09,151.999,151.2,-0.5257
2026-01-19,2026-01,20,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),127061.SZ,美锦转债,000723,美锦能源,机器人概念、股权转让(并购重组),002931,222.9257,命中机器人概念、股权转让(并购重组),成交额偏低1.1万；剩余规模27.89亿,119.8,121.325,1.273
2026-01-19,2026-01,22,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),128101.SZ,联创转债,002036,联创电子,机器人概念、股权转让(并购重组),002931,222.9257,命中机器人概念、股权转让(并购重组),公告到期赎回；成交额偏低0.6万；退市日期2026-03-17,129.499,129.0,-0.3853
2026-01-19,2026-01,37,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110081.SH,闻泰转债,600745,*ST闻泰,股权转让(并购重组),002931,122.9257,命中股权转让(并购重组),成交额偏低1.8万；剩余规模80.63亿,117.3,116.883,-0.3555
2026-01-19,2026-01,39,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110089.SH,兴发转债,600141,兴发集团,机器人概念,002931,122.9257,命中机器人概念,强赎中；成交额偏低4.4万；退市日期2026-03-04,144.05,147.969,2.7206
2026-01-19,2026-01,40,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110090.SH,爱迪转债,600933,爱柯迪,机器人概念,002931,122.9257,命中机器人概念,成交额偏低1.0万；剩余规模15.70亿,146.51,149.0,1.6995
2026-01-19,2026-01,42,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110093.SH,神马转债,600810,神马股份,股权转让(并购重组),002931,122.9257,命中股权转让(并购重组),成交额偏低0.7万；剩余规模22.20亿,136.92,137.373,0.3309
2026-01-19,2026-01,48,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),111000.SH,起帆转债,605222,起帆电缆,机器人概念,002931,122.9257,命中机器人概念,成交额偏低8.0万,140.757,143.961,2.2763
2026-01-19,2026-01,49,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),111004.SH,明新转债,605068,明新旭腾,机器人概念,002931,122.9257,命中机器人概念,成交额偏低0.6万,139.23,140.4,0.8403
2026-01-19,2026-01,50,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),111005.SH,富春转债,605189,富春染织,机器人概念,002931,122.9257,命中机器人概念,强赎中；成交额偏低0.7万；退市日期2026-05-29,163.338,165.943,1.5949
2026-01-20,2026-01,1,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",其他电子(0.062)、其他电子Ⅲ(0.062),118035.SH,国力转债,688103,国力电子,其他电子、其他电子Ⅲ,000670,217.2766,命中其他电子、其他电子Ⅲ,成交额偏低0.3万,152.66,152.006,-0.4284
2026-01-20,2026-01,2,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",其他电子(0.062)、其他电子Ⅲ(0.062),118060.SH,瑞可转债,688800,瑞可达,其他电子、其他电子Ⅲ,000670,217.2766,命中其他电子、其他电子Ⅲ,成交额偏低1.0万,194.33,191.458,-1.4779
2026-01-20,2026-01,5,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",其他电子(0.062)、其他电子Ⅲ(0.062),128137.SZ,洁美转债,002859,洁美科技,其他电子、其他电子Ⅲ,000670,217.2766,命中其他电子、其他电子Ⅲ,强赎中；成交额偏低1.8万,150.351,148.0,-1.5637
2026-01-21,2026-01,13,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),111000.SH,起帆转债,605222,起帆电缆,海工装备,000880,115.0165,命中海工装备,成交额偏低1.2万,144.164,144.841,0.4696
2026-01-21,2026-01,14,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),111023.SH,利柏转债,605167,利柏特,海工装备,000880,115.0165,命中海工装备,强赎中；成交额偏低2.6万；退市日期2026-06-24,182.51,180.911,-0.8761
2026-01-21,2026-01,17,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),113046.SH,金田转债,601609,金田股份,海工装备,000880,115.0165,命中海工装备,成交额偏低1.5万；剩余规模14.99亿,143.0,145.1,1.4685
2026-01-21,2026-01,24,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),113671.SH,武进转债,603878,武进不锈,海工装备,000880,115.0165,命中海工装备,成交额偏低0.3万,142.98,143.736,0.5287
2026-01-21,2026-01,25,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),113697.SH,应流转债,603308,应流股份,海工装备,000880,115.0165,命中海工装备,成交额偏低2.8万；剩余规模15.00亿,250.998,250.043,-0.3805
2026-01-21,2026-01,28,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),118050.SH,航宇转债,688239,航宇科技,海工装备,000880,115.0165,命中海工装备,成交额偏低5.9万,318.0,322.82,1.5157
2026-01-21,2026-01,29,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),118063.SH,金05转债,688676,金盘科技,海工装备,000880,115.0165,命中海工装备,成交额偏低5.7万；剩余规模16.71亿,197.5,200.604,1.5716
2026-01-21,2026-01,35,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123071.SZ,天能转债,300569,天能重工,海工装备,000880,115.0165,命中海工装备,成交额偏低0.4万,126.8,127.768,0.7634
2026-01-21,2026-01,38,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123114.SZ,三角转债,300775,三角防务,海工装备,000880,115.0165,命中海工装备,成交额偏低1.5万,145.5,148.7,2.1993
2026-01-21,2026-01,40,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123142.SZ,申昊转债,300853,申昊科技,海工装备,000880,115.0165,命中海工装备,成交额偏低0.2万,121.972,122.498,0.4312
2026-01-21,2026-01,41,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123149.SZ,通裕转债,300185,通裕重工,海工装备,000880,115.0165,命中海工装备,成交额偏低0.6万；剩余规模11.07亿,139.1,139.418,0.2286
2026-01-21,2026-01,42,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123160.SZ,泰福转债,300992,泰福泵业,其他通用设备,000880,115.0165,命中其他通用设备,成交额偏低2.1万,188.356,189.225,0.4614
2026-01-21,2026-01,45,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123182.SZ,广联转债,300900,广联航空,海工装备,000880,115.0165,命中海工装备,强赎中；成交额偏低14.2万；退市日期2026-03-17,146.229,150.0,2.5788
2026-01-21,2026-01,46,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123245.SZ,集智转债,300553,集智股份,海工装备,000880,115.0165,命中海工装备,成交额偏低2.5万,302.053,311.595,3.159
2026-01-21,2026-01,48,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123252.SZ,银邦转债,300337,银邦股份,海工装备,000880,115.0165,命中海工装备,成交额偏低3.7万,152.5,153.0,0.3279
2026-01-21,2026-01,49,"潍柴重机(000880,封单5.02亿)",海工装备(0.0169)、其他通用设备(0.0146),123253.SZ,永贵转债,300351,永贵电器,海工装备,000880,115.0165,命中海工装备,成交额偏低0.3万,143.72,145.394,1.1648
2026-01-22,2026-01,1,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),110094.SH,众和转债,600888,新疆众和,一带一路、石墨烯,002471,215.383,命中一带一路、石墨烯,强赎中；成交额偏低1.4万；退市日期2026-03-12,139.262,138.306,-0.6865
2026-01-22,2026-01,26,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),110086.SH,精工转债,600496,精工钢构,一带一路,002471,115.383,命中一带一路,成交额偏低0.6万；剩余规模20.00亿,133.621,134.923,0.9744
2026-01-22,2026-01,27,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),110087.SH,天业转债,600075,新疆天业,一带一路,002471,115.383,命中一带一路,成交额偏低1.3万；剩余规模29.98亿,140.932,141.055,0.0873
2026-01-22,2026-01,28,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),110090.SH,爱迪转债,600933,爱柯迪,一带一路,002471,115.383,命中一带一路,成交额偏低0.7万；剩余规模15.70亿,148.008,147.48,-0.3567
2026-01-22,2026-01,38,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),111009.SH,盛泰转债,605138,盛泰集团,一带一路,002471,115.383,命中一带一路,成交额偏低0.3万,124.782,126.295,1.2125
2026-01-22,2026-01,39,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),111023.SH,利柏转债,605167,利柏特,一带一路,002471,115.383,命中一带一路,强赎中；成交额偏低2.6万；退市日期2026-06-24,181.312,181.912,0.3309
2026-01-22,2026-01,40,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),111024.SH,澳弘转债,605058,澳弘电子,一带一路,002471,115.383,命中一带一路,成交额偏低2.6万,186.9,184.766,-1.1418
2026-01-22,2026-01,50,"中超控股(002471,封单5.38亿)",石墨烯(-0.0206)、一带一路(-0.0259),113045.SH,环旭转债,601231,环旭电子,一带一路,002471,115.383,命中一带一路,强赎中；成交额偏低12.7万；退市日期2026-01-29,163.001,170.019,4.3055
2026-01-23,2026-01,26,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110073.SH,国投转债,600061,国投资本,行业龙头,601615,123.9488,命中行业龙头,公告到期赎回；成交额偏低2.0万；剩余规模79.99亿；退市日期2026-07-24,112.699,112.829,0.1154
2026-01-23,2026-01,27,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110081.SH,闻泰转债,600745,*ST闻泰,行业龙头,601615,123.9488,命中行业龙头,成交额偏低3.6万；剩余规模80.63亿,117.257,118.429,0.9995
2026-01-23,2026-01,29,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110084.SH,贵燃转债,600903,贵州燃气,行业龙头,601615,123.9488,命中行业龙头,成交额偏低0.8万,130.438,130.444,0.0046
2026-01-23,2026-01,30,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110085.SH,通22转债,600438,通威股份,行业龙头,601615,123.9488,命中行业龙头,成交额偏低2.3万；剩余规模119.83亿,123.84,124.373,0.4304
2026-01-23,2026-01,44,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113046.SH,金田转债,601609,金田股份,2025年报预增,601615,123.9488,命中2025年报预增,成交额偏低1.1万；剩余规模14.99亿,155.196,150.918,-2.7565
2026-01-23,2026-01,45,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113053.SH,隆22转债,601012,隆基绿能,行业龙头,601615,123.9488,命中行业龙头,成交额偏低7.5万；剩余规模69.95亿,133.97,138.065,3.0567
2026-01-23,2026-01,46,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113058.SH,友发转债,601686,友发集团,2025年报预增,601615,123.9488,命中2025年报预增,成交额偏低1.6万；剩余规模18.64亿,160.79,163.462,1.6618
2026-01-23,2026-01,48,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113067.SH,燃23转债,601139,深圳燃气,行业龙头,601615,123.9488,命中行业龙头,成交额偏低0.7万；剩余规模30.00亿,131.477,131.854,0.2867
2026-01-26,2026-01,7,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),113691.SH,和邦转债,603077,和邦生物,金属铅,002155,154.4272,命中金属铅,成交额偏低8.0万；剩余规模45.99亿,161.0,153.859,-4.4354
2026-01-26,2026-01,8,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123180.SZ,浙矿转债,300837,浙矿股份,金属铅,002155,154.4272,命中金属铅,成交额偏低37.6万,191.0,184.2,-3.5602
2026-01-26,2026-01,12,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),127070.SZ,大中转债,001203,大中矿业,金属铅,002155,154.4272,命中金属铅,成交额偏低35.1万,400.0,400.66,0.165
2026-01-26,2026-01,16,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),113601.SH,塞力转债,603716,塞力医疗,脑机接口,002009,117.3235,命中脑机接口,强赎中；成交额偏低18.1万；退市日期2026-04-10,258.0,261.232,1.2527
2026-01-26,2026-01,23,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123108.SZ,乐普转2,300003,乐普医疗,脑机接口,002009,117.3235,命中脑机接口,公告到期赎回；成交额偏低0.6万；退市日期2026-03-30,109.899,108.653,-1.1338
2026-01-26,2026-01,24,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123157.SZ,科蓝转债,300663,科蓝软件,脑机接口,002009,117.3235,命中脑机接口,成交额偏低0.6万,156.5,153.142,-2.1457
2026-01-26,2026-01,27,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123237.SZ,佳禾转债,300793,佳禾智能,脑机接口,002009,117.3235,命中脑机接口,成交额偏低0.6万,171.257,163.34,-4.6229
2026-01-26,2026-01,28,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123254.SZ,亿纬转债,300014,亿纬锂能,脑机接口,002009,117.3235,命中脑机接口,强赎中；成交额偏低4.1万；退市日期2026-05-07,172.99,168.5,-2.5955
2026-02-02,2026-02,7,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),110081.SH,闻泰转债,600745,*ST闻泰,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低10.1万；剩余规模80.63亿,114.79,110.433,-3.7956
2026-02-02,2026-02,8,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),110087.SH,天业转债,600075,新疆天业,生态农业,301362,115.4279,命中生态农业,成交额偏低3.3万；剩余规模29.98亿,140.2,135.841,-3.1091
2026-02-02,2026-02,9,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),110090.SH,爱迪转债,600933,爱柯迪,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低1.1万；剩余规模15.70亿,143.0,139.452,-2.4811
2026-02-02,2026-02,17,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),111009.SH,盛泰转债,605138,盛泰集团,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低0.5万,125.89,123.914,-1.5696
2026-02-02,2026-02,19,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),111021.SH,奥锐转债,605116,奥锐特,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低1.6万,161.681,149.349,-7.6274
2026-02-02,2026-02,29,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113579.SH,健友转债,603707,健友股份,人民币贬值受益,301362,115.4279,命中人民币贬值受益,公告到期赎回；成交额偏低0.3万；退市日期2026-04-23,108.808,108.794,-0.0129
2026-02-02,2026-02,35,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113615.SH,金诚转债,603979,金诚信,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低7.9万,818.0,791.009,-3.2996
2026-02-02,2026-02,36,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113616.SH,韦尔转债,603501,豪威集团,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低0.5万；剩余规模24.32亿,126.8,125.124,-1.3218
2026-02-02,2026-02,37,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113618.SH,美诺转债,603538,美诺华,人民币贬值受益,301362,115.4279,命中人民币贬值受益,强赎中；成交额偏低0.5万；退市日期2026-05-08,138.691,136.621,-1.4925
2026-02-02,2026-02,40,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113647.SH,禾丰转债,603609,禾丰股份,生态农业,301362,115.4279,命中生态农业,成交额偏低0.7万；剩余规模14.67亿,124.046,123.204,-0.6788
2026-02-02,2026-02,41,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113651.SH,松霖转债,603992,松霖科技,人民币贬值受益,301362,115.4279,命中人民币贬值受益,强赎中；成交额偏低4.7万；退市日期2026-03-23,325.786,290.136,-10.9428
2026-02-02,2026-02,42,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113653.SH,永22转债,603681,永冠新材,人民币贬值受益,301362,115.4279,命中人民币贬值受益,强赎中；成交额偏低1.5万；退市日期2026-04-22,145.126,142.463,-1.835
2026-02-02,2026-02,43,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113659.SH,莱克转债,603355,莱克电气,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低1.1万；剩余规模12.00亿,138.725,136.063,-1.9189
2026-02-02,2026-02,44,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113667.SH,春23转债,603890,春秋电子,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低1.7万,183.824,177.99,-3.1737
2026-02-02,2026-02,45,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113673.SH,岱美转债,603730,岱美股份,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低3.4万,183.0,175.042,-4.3486
2026-02-02,2026-02,46,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),113699.SH,金25转债,603979,金诚信,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低5.9万；剩余规模20.00亿,188.0,181.766,-3.316
2026-02-02,2026-02,49,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),118010.SH,洁特转债,688026,洁特生物,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低0.2万,124.383,124.1,-0.2275
2026-02-02,2026-02,50,"民爆光电(301362,封单5.43亿)",生态农业(0.0445)、人民币贬值受益(0.008),118013.SH,道通转债,688208,道通科技,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低1.2万；剩余规模12.80亿,217.3,211.677,-2.5877
2026-02-09,2026-02,10,"中文在线(300364,封单5.75亿)",数据确权(-0.012)、高市净率(-0.0411),118021.SH,新致转债,688590,新致软件,数据确权,300364,115.7509,命中数据确权,强赎中；成交额偏低5.6万；退市日期2026-03-25,168.0,171.578,2.1298
2026-02-09,2026-02,11,"中文在线(300364,封单5.75亿)",数据确权(-0.012)、高市净率(-0.0411),118061.SH,茂莱转债,688502,茂莱光学,高市净率,300364,115.7509,命中高市净率,成交额偏低2.0万,187.999,190.189,1.1649
