code,name,reason,trade_date
603052,可川科技,封单金额不足5亿,2026-05-14
603052,可川科技,封单金额不足5亿,2026-05-14
603779,威龙股份,封单金额不足5亿,2026-05-15
603779,威龙股份,封单金额不足5亿,2026-05-15
001259,利仁科技,封单金额不足5亿,2026-05-15
001259,利仁科技,封单金额不足5亿,2026-05-15
002915,中欣氟材,封单金额不足5亿,2026-05-15
002915,中欣氟材,封单金额不足5亿,2026-05-15
601678,滨化股份,封单金额不足5亿,2026-05-15
601678,滨化股份,封单金额不足5亿,2026-05-15
002918,蒙娜丽莎,封单金额不足5亿,2026-05-15
002918,蒙娜丽莎,封单金额不足5亿,2026-05-15
603779,威龙股份,封单金额不足5亿,2026-05-18
603779,威龙股份,封单金额不足5亿,2026-05-18
000417,合百集团,封单金额不足5亿,2026-05-18
000417,合百集团,封单金额不足5亿,2026-05-18
000672,上峰水泥,封单金额不足5亿,2026-05-18
000672,上峰材料,封单金额不足5亿,2026-05-18
001259,利仁科技,封单金额不足5亿,2026-05-18
001259,利仁科技,封单金额不足5亿,2026-05-18
603779,威龙股份,封单金额不足5亿,2026-05-19
603779,威龙股份,封单金额不足5亿,2026-05-19
002421,达实智能,封单金额不足5亿,2026-05-19
002421,达实智能,封单金额不足5亿,2026-05-19
000417,合百集团,封单金额不足5亿,2026-05-19
000417,合百集团,封单金额不足5亿,2026-05-19
600506,统一股份,封单金额不足5亿,2026-05-19
600506,统一股份,封单金额不足5亿,2026-05-19
002067,景兴纸业,封单金额不足5亿,2026-05-19
002067,景兴纸业,封单金额不足5亿,2026-05-19
603779,威龙股份,昨日已涨停,2026-05-20
603779,威龙股份,昨日已涨停,2026-05-20
301322,绿通科技,封单金额不足5亿,2026-05-20
301322,绿通科技,封单金额不足5亿,2026-05-20
002272,川润股份,封单金额不足5亿,2026-05-20
002272,川润股份,封单金额不足5亿,2026-05-20
002421,达实智能,封单金额不足5亿,2026-05-20
002421,达实智能,封单金额不足5亿,2026-05-20
600604,市北高新,封单金额不足5亿,2026-05-20
600604,市北高新,封单金额不足5亿,2026-05-20
000809,和展能源,封单金额不足5亿,2026-05-20
000809,和展能源,封单金额不足5亿,2026-05-20
300069,金利华电,封单金额不足5亿,2026-05-21
300069,金利华电,封单金额不足5亿,2026-05-21
603779,威龙股份,封单金额不足5亿,2026-05-21
603779,威龙股份,封单金额不足5亿,2026-05-21
000536,华映科技,封单金额不足5亿,2026-05-21
000536,华映科技,封单金额不足5亿,2026-05-21
300069,金利华电,封单金额不足5亿,2026-05-22
300069,金利华电,封单金额不足5亿,2026-05-22
600611,大众交通,封单金额不足5亿,2026-05-22
600611,大众交通,封单金额不足5亿,2026-05-22
603661,恒林股份,封单金额不足5亿,2026-05-22
603661,恒林股份,封单金额不足5亿,2026-05-22
603232,格尔软件,封单金额不足5亿,2026-05-22
603232,格尔软件,封单金额不足5亿,2026-05-22
000636,风华高科,昨日已涨停,2026-05-25
000636,风华高科,昨日已涨停,2026-05-25
002938,鹏鼎控股,封单金额不足5亿,2026-05-25
002938,鹏鼎控股,封单金额不足5亿,2026-05-25
300275,梅安森,封单金额不足5亿,2026-05-25
300275,梅安森,封单金额不足5亿,2026-05-25
002526,山东矿机,封单金额不足5亿,2026-05-25
002526,山东矿机,封单金额不足5亿,2026-05-25
000409,云鼎科技,封单金额不足5亿,2026-05-25
000409,云鼎科技,封单金额不足5亿,2026-05-25
603661,恒林股份,封单金额不足5亿,2026-05-25
603661,恒林股份,封单金额不足5亿,2026-05-25
600539,狮头股份,封单金额不足5亿,2026-05-25
600539,狮头股份,封单金额不足5亿,2026-05-25
002185,华天科技,昨日已涨停,2026-05-26
002185,华天科技,昨日已涨停,2026-05-26
600520,三佳科技,封单金额不足5亿,2026-05-26
600520,三佳科技,封单金额不足5亿,2026-05-26
002388,新亚制程,封单金额不足5亿,2026-05-26
002388,新亚制程,封单金额不足5亿,2026-05-26
300795,米奥会展,封单金额不足5亿,2026-05-26
300795,米奥会展,封单金额不足5亿,2026-05-26
600162,香江控股,封单金额不足5亿,2026-05-26
600162,香江控股,封单金额不足5亿,2026-05-26
002579,中京电子,封单金额不足5亿,2026-05-27
002579,中京电子,封单金额不足5亿,2026-05-27
603533,掌阅科技,封单金额不足5亿,2026-05-27
603533,掌阅科技,封单金额不足5亿,2026-05-27
600589,大位科技,封单金额不足5亿,2026-05-28
600589,大位科技,封单金额不足5亿,2026-05-28
000509,华塑控股,封单金额不足5亿,2026-05-28
000509,华塑控股,封单金额不足5亿,2026-05-28
600726,华电能源,封单金额不足5亿,2026-05-28
600726,华电能源,封单金额不足5亿,2026-05-28
600063,皖维高新,封单金额不足5亿,2026-05-28
600063,皖维高新,封单金额不足5亿,2026-05-28
002995,天地在线,封单金额不足5亿,2026-05-28
002995,天地在线,封单金额不足5亿,2026-05-28
002688,金河生物,封单金额不足5亿,2026-05-28
002688,金河生物,封单金额不足5亿,2026-05-28
301439,泓淋电力,封单金额不足5亿,2026-05-29
301439,泓淋电力,封单金额不足5亿,2026-05-29
605277,新亚电子,封单金额不足5亿,2026-05-29
605277,新亚电子,封单金额不足5亿,2026-05-29
002806,华锋股份,封单金额不足5亿,2026-05-29
002806,华锋股份,封单金额不足5亿,2026-05-29
