trade_date,rank,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,risk_notes,open,close,t0_return_pct
2026-06-09,48,123038.SZ,联得转债,300545,联得装备,117.1878,先进封装,605589,强赎中；退市日期2025-08-20,,,
2026-06-09,49,123050.SZ,聚飞转债,300303,聚飞光电,117.1878,先进封装,605589,强赎中；退市日期2024-12-09,,,
2026-06-09,50,123060.SZ,苏试转债,300416,苏试试验,117.1878,先进封装,605589,强赎中；退市日期2023-01-30,,,
2026-06-29,1,110089.SH,兴发转债,600141,兴发集团,116.0397,中芯国际概念,002407,强赎中；退市日期2026-03-04,,,
2026-06-29,2,111007.SH,永和转债,605020,永和股份,116.0397,氟化工,002407,强赎中；退市日期2025-10-10,,,
2026-06-29,3,111010.SH,立昂转债,605358,立昂微,116.0397,中芯国际概念,002407,强赎中；退市日期2026-06-18,,,
2026-06-29,4,113510.SH,再升转债,603601,再升科技,116.0397,中芯国际概念,002407,退市日期2020-03-25,,,
2026-06-29,5,113556.SH,至纯转债,603690,至纯科技,116.0397,中芯国际概念,002407,退市日期2021-01-26,,,
2026-06-29,6,113616.SH,韦尔转债,603501,豪威集团,116.0397,中芯国际概念,002407,成交额偏低0.5万；剩余规模24.32亿,112.21,111.821,-0.34667141965956316
2026-06-29,7,113621.SH,彤程转债,603650,彤程新材,116.0397,中芯国际概念,002407,强赎中；退市日期2025-11-14,,,
2026-06-29,8,113657.SH,再22转债,603601,再升科技,116.0397,中芯国际概念,002407,强赎中；退市日期2026-01-21,,,
2026-06-29,9,118033.SH,华特转债,688268,华特气体,116.0397,中芯国际概念,002407,强赎中；退市日期2026-06-10,,,
2026-06-29,10,118036.SH,力合转债,688589,力合微,116.0397,中芯国际概念,002407,成交额偏低0.6万,129.69,129.011,-0.5235561724111358
2026-06-29,11,118038.SH,金宏转债,688106,金宏气体,116.0397,中芯国际概念,002407,强赎中；退市日期2026-04-29,,,
2026-06-29,12,118053.SH,正帆转债,688596,正帆科技,116.0397,中芯国际概念,002407,成交额偏低45.5万；剩余规模10.41亿,184.66,204.26,10.614101592115235
2026-06-29,13,118054.SH,安集转债,688019,安集科技,116.0397,中芯国际概念,002407,强赎中；退市日期2026-03-27,,,
2026-06-29,14,118058.SH,微导转债,688147,微导纳米,116.0397,中芯国际概念,002407,成交额偏低19.4万；剩余规模11.70亿,485.0,493.788,1.8119587628866
2026-06-29,15,123025.SZ,精测转债,300567,精测电子,116.0397,中芯国际概念,002407,公告到期赎回；退市日期2025-03-31,,,
2026-06-29,16,123031.SZ,晶瑞转债,300655,晶瑞电材,116.0397,中芯国际概念,002407,公告到期赎回；退市日期2025-08-29,,,
2026-06-29,17,123037.SZ,新莱转债,300260,新莱应材,116.0397,中芯国际概念,002407,退市日期2020-09-21,,,
2026-06-29,18,123060.SZ,苏试转债,300416,苏试试验,116.0397,中芯国际概念,002407,强赎中；退市日期2023-01-30,,,
2026-06-29,19,123062.SZ,三超转债,300554,三超新材,116.0397,中芯国际概念,002407,强赎中；退市日期2022-09-23,,,
2026-06-29,20,123078.SZ,飞凯转债,300398,飞凯材料,116.0397,中芯国际概念,002407,强赎中；退市日期2025-05-30,,,
2026-06-29,21,123115.SZ,捷捷转债,300623,捷捷微电,116.0397,中芯国际概念,002407,强赎中；退市日期2024-12-09,,,
2026-06-29,22,123123.SZ,江丰转债,300666,江丰电子,116.0397,中芯国际概念,002407,强赎中；退市日期2022-12-30,,,
2026-06-29,23,123124.SZ,晶瑞转2,300655,晶瑞电材,116.0397,中芯国际概念,002407,成交额偏低3.7万,159.6,156.358,-2.031328320801999
2026-06-29,24,123170.SZ,南电转债,300346,南大光电,116.0397,中芯国际概念,002407,强赎中；退市日期2024-11-26,,,
2026-06-29,25,123176.SZ,精测转2,300567,精测电子,116.0397,中芯国际概念,002407,成交额偏低17.0万；剩余规模12.75亿,470.0,505.0,7.446808510638298
2026-06-29,26,123255.SZ,鼎龙转债,300054,鼎龙股份,116.0397,中芯国际概念,002407,成交额偏低22.7万,493.0,529.359,7.375050709939155
2026-06-29,27,124025.SZ,富乐定转,301297,富乐德,116.0397,中芯国际概念,002407,,,,
2026-06-29,28,125969.SZ,安泰转债,000969,安泰科技,116.0397,中芯国际概念,002407,退市日期2010-06-23,,,
2026-06-29,29,127009.SZ,冰轮转债,000811,冰轮环境,116.0397,中芯国际概念,002407,退市日期2019-10-23,,,
2026-06-29,30,128033.SZ,迪龙转债,002658,雪迪龙,116.0397,中芯国际概念,002407,公告到期赎回；退市日期2023-12-28,,,
