trade_date,rank,code,name,stk_code,stk_name,industry,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size_yi,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,call_risk,risk_flags,missing_fields
2026-06-09,1,113588.SH,润达转债,603108,润达医疗,医药商业,底价观察,B,54.4,108.94,109.0,cb_call.call_price,-0.06,23.83,-13,,,41.4,53.0,,,60.0,,12.1,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,2,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,49.1,116.8,115.0,cb_call.call_price,1.8,6.54,12,5.52,,54.3,53.0,,,60.0,,9.6,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,3,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,C,40.9,120.85,118.0,cb_call.call_price,2.85,24.02,15,1.57,,40.2,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,4,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,39.9,112.49,110.0,cb_basic.maturity_call_price,2.49,19.73,114,14.05,,43.9,53.0,,,60.0,,9.5,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-09,5,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,38.2,121.52,118.0,cb_call.call_price,3.52,21.8,30,2.97,,42.7,53.0,,,60.0,,11.7,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,50.6,116.29,115.0,cb_call.call_price,1.29,7.44,12,5.52,,54.2,53.0,,,60.0,,6.4,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,2,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,48.0,119.05,118.0,cb_call.call_price,1.05,25.32,15,1.57,,40.7,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,3,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,42.7,120.31,118.0,cb_call.call_price,2.31,22.28,30,2.97,,43.0,53.0,,,60.0,,6.9,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,4,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,38.9,113.17,110.0,cb_basic.maturity_call_price,3.17,15.99,114,14.05,,48.0,53.0,,,60.0,,11.3,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,5,128134.SZ,鸿路转债,002541,鸿路钢构,钢加工,底价观察,C,33.8,114.25,110.0,cb_basic.maturity_call_price,4.25,17.22,101,15.73,,46.9,53.0,,,60.0,,9.5,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-10,6,110076.SH,华海转债,600521,华海药业,化学制药,底价观察,C,33.1,113.52,110.0,cb_basic.maturity_call_price,3.52,29.98,125,18.42,,40.1,53.0,,,60.0,,9.6,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-11,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,50.9,116.05,115.0,cb_call.call_price,1.05,9.19,12,5.52,,53.1,53.0,,,60.0,,6.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-11,2,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,43.7,119.76,118.0,cb_call.call_price,1.76,26.77,30,2.97,,41.1,53.0,,,60.0,,5.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-11,3,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,38.6,113.13,110.0,cb_basic.maturity_call_price,3.13,15.95,114,14.05,,47.7,53.0,,,60.0,,5.7,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,50.6,116.2,115.0,cb_call.call_price,1.2,8.15,12,5.52,,52.5,53.0,,,60.0,,8.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,2,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,47.7,119.02,118.0,cb_call.call_price,1.02,26.47,15,1.57,,39.1,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,3,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,43.2,119.96,118.0,cb_call.call_price,1.96,24.85,30,2.97,,40.2,53.0,,,60.0,,9.1,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-12,4,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,33.8,114.5,110.0,cb_basic.maturity_call_price,4.5,14.03,114,14.05,,47.9,53.0,,,60.0,,10.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,49.7,116.35,115.0,cb_call.call_price,1.35,8.3,12,5.52,,52.1,53.0,,,60.0,,7.3,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,2,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,48.2,119.04,118.0,cb_call.call_price,1.04,24.29,15,1.57,,40.1,53.0,,,60.0,,5.7,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,3,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,38.7,121.11,118.0,cb_call.call_price,3.11,24.26,30,2.97,,40.7,53.0,,,60.0,,9.6,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,4,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,31.5,114.89,110.0,cb_basic.maturity_call_price,4.89,16.13,114,14.05,,46.5,53.0,,,60.0,,10.1,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-15,5,110076.SH,华海转债,600521,华海药业,化学制药,底价观察,C,27.9,114.71,110.0,cb_basic.maturity_call_price,4.71,29.28,125,18.42,,38.6,53.0,,,60.0,,7.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,51.5,116.14,115.0,cb_call.call_price,1.14,7.43,12,5.52,,54.6,53.0,,,60.0,,9.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,2,128125.SZ,华阳转债,002949,华阳国际,建筑工程,B下修事件,B,51.3,113.01,113.0,cb_call.call_price,0.01,45.39,30,4.5,,35.2,83.0,,,60.0,,5.7,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,3,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,49.5,118.9,118.0,cb_call.call_price,0.9,22.58,15,1.57,,42.5,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,4,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,42.5,120.41,118.0,cb_call.call_price,2.41,21.38,30,2.97,,43.4,53.0,,,60.0,,5.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,5,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,32.8,114.55,110.0,cb_basic.maturity_call_price,4.55,16.41,114,14.05,,47.3,53.0,,,60.0,,8.3,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-16,6,110075.SH,南航转债,600029,南方航空,空运,底价观察,C,32.2,110.53,106.5,cb_basic.maturity_call_price,4.03,26.53,107,58.96,,42.7,50.0,,,60.0,,20.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,51.4,116.0,115.0,cb_call.call_price,1.0,8.15,12,5.52,,52.5,53.0,,,60.0,,9.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,2,128125.SZ,华阳转债,002949,华阳国际,建筑工程,B下修事件,B,50.6,113.0,113.0,cb_call.call_price,0.0,50.28,30,4.5,,32.8,83.0,,,60.0,,7.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,3,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,50.0,118.59,118.0,cb_call.call_price,0.59,24.11,15,1.57,,40.1,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,4,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,B,46.0,119.29,118.0,cb_call.call_price,1.29,24.16,30,2.97,,40.5,53.0,,,60.0,,8.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,5,110075.SH,南航转债,600029,南方航空,空运,底价观察,C,34.2,110.14,106.5,cb_basic.maturity_call_price,3.64,24.69,107,58.96,,44.2,50.0,,,60.0,,20.1,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,6,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,32.9,114.18,110.0,cb_basic.maturity_call_price,4.18,19.79,114,14.05,,43.6,53.0,,,60.0,,7.9,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-17,7,123088.SZ,威唐转债,300707,威唐工业,汽车配件,B下修事件,C,32.3,119.9,115.0,cb_basic.maturity_call_price,4.9,47.65,168,3.0,,33.4,83.0,,,60.0,,6.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,52.7,115.82,115.0,cb_call.call_price,0.82,6.53,12,5.52,,53.9,53.0,,,60.0,,6.4,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,2,128125.SZ,华阳转债,002949,华阳国际,建筑工程,B下修事件,B,50.9,112.98,113.0,cb_call.call_price,-0.02,48.45,30,4.5,,33.5,83.0,,,60.0,,8.5,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,3,123059.SZ,银信转债,300231,银信科技,软件服务,底价观察,B,50.3,118.6,118.0,cb_call.call_price,0.6,22.97,15,1.57,,40.9,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,4,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,43.5,120.5,118.0,cb_call.call_price,2.5,20.5,30,2.97,,44.7,53.0,,,60.0,,18.7,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,5,110075.SH,南航转债,600029,南方航空,空运,底价观察,C,38.9,108.81,106.5,cb_basic.maturity_call_price,2.31,26.91,107,58.96,,41.4,50.0,,,60.0,,21.2,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,6,123088.SZ,威唐转债,300707,威唐工业,汽车配件,B下修事件,C,36.6,118.95,115.0,cb_basic.maturity_call_price,3.95,45.28,168,3.0,,34.3,83.0,,,60.0,,8.2,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-18,7,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,33.5,114.07,110.0,cb_basic.maturity_call_price,4.07,19.09,114,14.05,,44.0,53.0,,,60.0,,7.5,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
