ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
603270.SH,20250630,汽车零部件,P,339529858.91,66272156.44,273257702.47,CNY
603270.SH,20250630,汽车精密零部件,P,339529858.91,66272156.44,273257702.47,CNY
603270.SH,20250630,其他业务,P,67945855.53,1279839.85,66666015.68,CNY
603270.SH,20241231,风电行业保持架,P,242834719.76,129384601.64,113450118.12,CNY
603270.SH,20241231,门锁、安全、座椅等其他系统,P,103380151.99,30063616.04,73316535.95,CNY
603270.SH,20241231,边角料,P,118867224.87,8047178.69,110820046.18,CNY
603270.SH,20241231,轴承配件(轴承配件),P,44481689.26,5790086.98,38691602.28,CNY
603270.SH,20241231,汽车动力系统,P,491501677.06,100499102.8,391002574.26,CNY
603270.SH,20241231,其他行业保持架,P,350238013.97,111602878.25,238635135.72,CNY
603270.SH,20241231,其他主营业务,P,4038176.5,2748763.69,1289412.81,CNY
603270.SH,20240630,边角料,P,55141425.5,6512256.64,48629168.86,CNY
603270.SH,20240630,轴承配件(轴承配件),P,21884824.71,4601232.16,17283592.55,CNY
603270.SH,20240630,轴承保持架,P,275083054.2,112159817.25,162923236.95,CNY
603270.SH,20240630,汽车零部件,P,239667560.47,58002298.76,181665261.71,CNY
603270.SH,20240630,汽车精密零部件,P,239667560.47,58002298.76,181665261.71,CNY
603270.SH,20240630,其他主营业务,P,2008446.87,275140.54,1733306.33,CNY
603667.SH,20251231,轴承产品,P,1827428645.0,342284433.58,1485144211.42,CNY
603667.SH,20251231,热管理系统零部件,P,919279440.52,111281511.56,807997928.96,CNY
603667.SH,20251231,汽车零部件,P,512152719.62,122839614.3,389313105.32,CNY
603667.SH,20251231,机器人零部件,P,15994977.22,-1491860.56,17486837.78,CNY
603667.SH,20251231,其他业务,P,68438549.43,28573044.79,39865504.64,CNY
603667.SH,20250630,轴承套圈,P,994408500.57,180333272.7,814075227.87,CNY
603667.SH,20250630,轴承产品,P,994408500.57,180333272.7,814075227.87,CNY
603667.SH,20250630,空调管路,P,613835729.22,60339950.53,553495778.69,CNY
603667.SH,20250630,汽车零部件,P,243657543.59,50503914.23,193153629.36,CNY
603667.SH,20250630,其他主营业务,P,41229161.13,17728511.42,23500649.71,CNY
603667.SH,20250630,其他业务,P,1206885.91,563016.15,643869.76,CNY
603667.SH,20241231,轴承套圈,P,1792443618.87,302279020.52,1490164598.35,CNY
603667.SH,20241231,轴承产品,P,1792443618.87,302279020.52,1490164598.35,CNY
603667.SH,20241231,热管理系统零部件,P,942386667.96,110220322.34,832166345.62,CNY
603667.SH,20241231,汽车零部件,P,471262003.55,95364962.02,375897041.53,CNY
603667.SH,20241231,其他业务,P,58456956.74,31500337.01,26956619.73,CNY
000551.SZ,20251231,输变电高压绝缘子,P,1024856102.35,388399392.13,636456710.22,CNY
000551.SZ,20251231,贸易、汽车销售及服务,P,112494709.73,21379694.47,91115015.26,CNY
000551.SZ,20251231,精密轴承,P,725464837.08,262984580.79,462480256.29,CNY
000551.SZ,20251231,磨具磨料,P,168654397.64,38157272.31,130497125.33,CNY
000551.SZ,20251231,洁净环保设备及工程,P,2073529980.72,377631831.38,1695898149.34,CNY
000551.SZ,20251231,光机电算一体化测绘仪器,P,116051925.96,29533249.27,86518676.69,CNY
000551.SZ,20250630,输变电高压绝缘子,P,512504075.64,173413320.19,339090755.45,CNY
000551.SZ,20250630,贸易、汽车销售及服务,P,46278455.12,,,CNY
000551.SZ,20250630,精密轴承,P,357210725.58,133753326.67,223457398.91,CNY
000551.SZ,20250630,磨具磨料,P,113223681.52,,,CNY
000551.SZ,20250630,洁净环保设备及工程,P,983443222.38,177869394.39,805573827.99,CNY
000551.SZ,20250630,光机电算一体化测绘仪器,P,66373645.32,,,CNY
000551.SZ,20241231,输变电高压绝缘子,P,757948829.86,254138844.25,503809985.61,CNY
000551.SZ,20241231,贸易、汽车销售及服务,P,149253538.9,21880170.01,127373368.89,CNY
000551.SZ,20241231,精密轴承,P,715317741.96,267190786.81,448126955.15,CNY
000551.SZ,20241231,磨具磨料,P,187199519.86,35514017.19,151685502.67,CNY
000551.SZ,20241231,洁净环保设备及工程,P,2252313091.16,385819569.95,1866493521.21,CNY
000551.SZ,20241231,光机电算一体化测绘仪器,P,130032569.36,34342698.08,95689871.28,CNY
000551.SZ,20240630,输变电高压绝缘子,P,359595546.07,113198196.39,246397349.68,CNY
000551.SZ,20240630,贸易、汽车销售及服务,P,72165104.2,,,CNY
000551.SZ,20240630,精密轴承,P,358438318.69,136388151.33,222050167.36,CNY
000551.SZ,20240630,磨具磨料,P,110070878.51,,,CNY
000551.SZ,20240630,洁净环保设备及工程,P,1285380062.58,209318840.85,1076061221.73,CNY
000551.SZ,20240630,光机电算一体化测绘仪器,P,74013250.24,,,CNY
300718.SZ,20251231,非金属自润滑轴承,P,95431599.58,,,CNY
300718.SZ,20251231,铜粉等金属材料,P,71403066.36,,,CNY
300718.SZ,20251231,铜基边界润滑卷制轴承,P,40414683.79,,,CNY
300718.SZ,20251231,金属塑料聚合物自润滑卷制轴承,P,463252379.98,220243448.37,243008931.61,CNY
300718.SZ,20251231,金属基自润滑轴承,P,201266245.49,56243449.21,145022796.28,CNY
300718.SZ,20251231,工程机械部件,P,102716723.64,,,CNY
300718.SZ,20251231,双金属边界润滑卷制轴承,P,212282373.14,54516193.74,157766179.4,CNY
300718.SZ,20251231,其他主营业务,P,59663080.6,,,CNY
300718.SZ,20251231,其他业务,P,21347983.45,19137631.66,2210351.79,CNY
300718.SZ,20250630,金属塑料聚合物自润滑卷制轴承,P,212835627.77,102501638.33,110333989.44,CNY
300718.SZ,20250630,金属基自润滑轴承,P,103667809.03,28415346.46,75252462.57,CNY
300718.SZ,20250630,双金属边界润滑卷制轴承,P,112166852.19,23936406.25,88230445.94,CNY
300718.SZ,20250630,其他业务,P,189760411.09,58781899.41,130978511.68,CNY
300718.SZ,20241231,非金属自润滑轴承,P,81070007.07,40611580.19,40458426.88,CNY
300718.SZ,20241231,铜粉等金属材料,P,66961659.22,5735099.72,61226559.5,CNY
300718.SZ,20241231,铜基边界润滑卷制轴承,P,36513558.71,10176177.13,26337381.58,CNY
300718.SZ,20241231,金属塑料聚合物自润滑卷制轴承,P,423373308.04,206761787.92,216611520.12,CNY
300718.SZ,20241231,金属基自润滑轴承,P,175490007.09,51404563.34,124085443.75,CNY
300718.SZ,20241231,工程机械部件,P,86340533.52,6451418.23,79889115.29,CNY
300718.SZ,20241231,双金属边界润滑卷制轴承,P,183067148.49,42089745.05,140977403.44,CNY
300718.SZ,20241231,其他主营业务,P,59880447.16,13840479.1,46039968.06,CNY
300718.SZ,20241231,其他业务,P,24754470.76,22831176.53,1923294.23,CNY
300718.SZ,20240630,金属塑料聚合物自润滑卷制轴承,P,195110365.15,96247943.13,98862422.02,CNY
300718.SZ,20240630,金属基自润滑轴承,P,85021778.68,24180193.86,60841584.82,CNY
300718.SZ,20240630,双金属边界润滑卷制轴承,P,94960828.9,18090037.91,76870790.99,CNY
300718.SZ,20240630,其他业务,P,181883931.5,60579529.3,121304402.2,CNY
002046.SZ,20251231,高压装备,P,30104690.37,1001175.58,29103514.79,CNY
002046.SZ,20251231,金刚石材料,P,213041435.52,22463323.58,190578111.94,CNY
002046.SZ,20251231,超硬材料磨具,P,668697475.97,423928161.77,244769314.2,CNY
002046.SZ,20251231,电主轴,P,22975360.68,5037222.28,17938138.4,CNY
002046.SZ,20251231,特种及精密轴承,P,1328221091.21,359602467.35,968618623.86,CNY
002046.SZ,20251231,技术开发与检测服务(磨料磨具),P,147886574.86,70642455.13,77244119.73,CNY
002046.SZ,20251231,复合超硬材料,P,94688012.39,27156239.88,67531772.51,CNY
002046.SZ,20251231,其他高端装备,P,197713829.23,62880006.42,134833822.81,CNY
002046.SZ,20251231,其他业务,P,34120169.84,21586385.56,12533784.28,CNY
002046.SZ,20251231,供应链运营,P,281344158.68,35022532.0,246321626.68,CNY
002046.SZ,20250630,高压装备,P,12342522.22,-515255.0,12857777.22,CNY
002046.SZ,20250630,金刚石材料,P,34932482.43,6943421.07,27989061.36,CNY
002046.SZ,20250630,超硬材料磨具,P,290864411.89,177482256.56,113382155.33,CNY
002046.SZ,20250630,电主轴,P,12283691.58,2160396.98,10123294.6,CNY
002046.SZ,20250630,特种及精密轴承,P,855879449.07,252223424.25,603656024.82,CNY
002046.SZ,20250630,技术开发与检测服务,P,62762602.32,28897614.46,33864987.86,CNY
002046.SZ,20250630,复合超硬材料,P,48777242.78,15344970.66,33432272.12,CNY
002046.SZ,20250630,其他高端装备,P,130509440.49,42617391.56,87892048.93,CNY
002046.SZ,20250630,其他业务,P,13538180.44,7910447.45,5627732.99,CNY
002046.SZ,20250630,供应链运营,P,146020478.9,10018323.16,136002155.74,CNY
002046.SZ,20241231,高压装备,P,71773356.33,,,CNY
002046.SZ,20241231,金刚石材料,P,125491558.56,,,CNY
002046.SZ,20241231,超硬材料磨具,P,576012681.36,335446563.04,240566118.32,CNY
002046.SZ,20241231,电主轴,P,30773165.83,,,CNY
002046.SZ,20241231,特种及精密轴承,P,1057796642.36,355356839.22,702439803.14,CNY
002046.SZ,20241231,技术开发与检测服务(轴承),P,124616813.59,39797176.17,84819637.42,CNY
002046.SZ,20241231,技术开发与检测服务(磨料磨具),P,24414262.92,13929848.76,10484414.16,CNY
002046.SZ,20241231,复合超硬材料,P,136740337.53,,,CNY
002046.SZ,20241231,其他高端装备,P,112231979.95,,,CNY
002046.SZ,20241231,其他业务,P,31802013.25,22806285.93,8995727.32,CNY
002046.SZ,20241231,供应链运营,P,365914516.96,40557933.88,325356583.08,CNY
002046.SZ,20240630,高压装备,P,54461240.8,,,CNY
002046.SZ,20240630,金刚石材料,P,51655488.13,,,CNY
002046.SZ,20240630,超硬材料磨具,P,260839477.23,160352915.88,100486561.35,CNY
002046.SZ,20240630,电主轴,P,21098656.07,,,CNY
002046.SZ,20240630,特种及精密轴承,P,472197382.69,187513327.95,284684054.74,CNY
002046.SZ,20240630,技术开发与检测服务,P,76409280.24,,,CNY
002046.SZ,20240630,复合超硬材料,P,77364388.64,,,CNY
002046.SZ,20240630,其他高端装备,P,41864840.47,,,CNY
002046.SZ,20240630,其他业务,P,14550913.13,12002370.36,2548542.77,CNY
002046.SZ,20240630,供应链运营,P,214453381.33,26723293.5,187730087.83,CNY
002472.SZ,20251231,电动工具齿轮,P,134279305.55,33094293.66,101185011.89,CNY
002472.SZ,20251231,智能执行机构,P,797617149.85,155185964.32,642431185.53,CNY
002472.SZ,20251231,摩托车齿轮,P,76043107.14,18704043.66,57339063.48,CNY
002472.SZ,20251231,工程机械齿轮,P,633127030.45,202705307.85,430421722.6,CNY
002472.SZ,20251231,商用车齿轮,P,671533224.57,192191875.35,479341349.22,CNY
002472.SZ,20251231,减速器及其他,P,795052336.68,305521578.74,489530757.94,CNY
002472.SZ,20251231,乘用车齿轮,P,6004519566.15,1583520543.36,4420999022.79,CNY
002472.SZ,20250630,电动工具齿轮,P,70967088.61,17121368.22,53845720.39,CNY
002472.SZ,20250630,智能执行机构,P,425541978.8,80799844.2,344742134.6,CNY
002472.SZ,20250630,摩托车齿轮,P,36849838.99,8969902.47,27879936.52,CNY
002472.SZ,20250630,工程机械齿轮,P,354787459.28,112530423.92,242257035.36,CNY
002472.SZ,20250630,工业自动控制系统装置及工程成套-智能执行机构,P,425541978.8,80799844.2,344742134.6,CNY
002472.SZ,20250630,商用车齿轮,P,323029688.94,93993915.8,229035773.14,CNY
002472.SZ,20250630,减速器及其他,P,348990082.38,158303476.39,190686605.99,CNY
002472.SZ,20250630,乘用车齿轮,P,2668932810.05,672619343.33,1996313466.72,CNY
002472.SZ,20241231,钢材销售,P,631755443.1,74104383.21,557651059.89,CNY
002472.SZ,20241231,电动工具齿轮,P,129595496.94,27982998.67,101612498.27,CNY
002472.SZ,20241231,智能执行机构,P,642352297.31,121793953.15,520558344.16,CNY
002472.SZ,20241231,摩托车齿轮,P,95090047.13,29295845.9,65794201.23,CNY
002472.SZ,20241231,工程机械齿轮,P,579941627.88,185022024.08,394919603.8,CNY
002472.SZ,20241231,工业自动控制系统装置及工程成套-智能执行机构,P,642352297.31,121793953.15,520558344.16,CNY
002472.SZ,20241231,商用车齿轮,P,721667942.54,197792326.05,523875616.49,CNY
002472.SZ,20241231,减速器及其他,P,656103940.95,191258055.03,464845885.92,CNY
002472.SZ,20241231,乘用车齿轮,P,5324891320.63,1368656277.43,3956235043.2,CNY
002472.SZ,20240630,钢材销售,P,531251636.94,56664083.16,474587553.78,CNY
002472.SZ,20240630,电动工具齿轮,P,65056571.99,10695900.07,54360671.92,CNY
002472.SZ,20240630,智能执行机构,P,280453449.66,53091756.89,227361692.77,CNY
002472.SZ,20240630,摩托车齿轮,P,48992582.66,15343163.05,33649419.61,CNY
002472.SZ,20240630,工程机械齿轮,P,316639958.87,91510259.01,225129699.86,CNY
002472.SZ,20240630,工业自动控制系统装置及工程成套-智能执行机构,P,280453449.66,53091756.89,227361692.77,CNY
002472.SZ,20240630,商用车齿轮,P,459610654.07,120661327.98,338949326.09,CNY
002472.SZ,20240630,减速器及其他,P,257249244.78,82280765.77,174968479.01,CNY
002472.SZ,20240630,乘用车齿轮,P,2362996727.42,552856499.23,1810140228.19,CNY
301596.SZ,20251231,谐波减速机,P,54539625.14,21224126.47,33315498.67,CNY
301596.SZ,20251231,精密传动部件,P,200508399.74,35976952.7,164531447.04,CNY
301596.SZ,20251231,电磁制动器,P,348161681.98,112975725.36,235185956.62,CNY
301596.SZ,20251231,其他收入,P,42867536.05,27666187.21,15201348.84,CNY
301596.SZ,20250630,谐波减速机,P,17185464.19,6250605.56,10934858.63,CNY
301596.SZ,20250630,精密传动部件,P,95984837.06,15372921.5,80611915.56,CNY
301596.SZ,20250630,电磁制动器,P,182008802.01,60395530.07,121613271.94,CNY
301596.SZ,20250630,其他收入,P,21976262.17,13232771.46,8743490.71,CNY
301596.SZ,20241231,谐波减速机,P,34243844.4,13397601.71,20846242.69,CNY
301596.SZ,20241231,精密传动部件,P,190907713.23,32787620.58,158120092.65,CNY
301596.SZ,20241231,电磁制动器,P,344316827.94,124016257.05,220300570.89,CNY
301596.SZ,20241231,其他收入,P,46382671.21,25276009.85,21106661.36,CNY
301596.SZ,20240630,谐波减速机,P,12831204.18,5681117.53,7150086.65,CNY
301596.SZ,20240630,精密传动部件,P,89751455.51,16419271.9,73332183.61,CNY
301596.SZ,20240630,电磁制动器,P,174122008.0,64880263.6,109241744.4,CNY
301596.SZ,20240630,其他收入,P,18764774.77,11271843.2,7492931.57,CNY
301368.SZ,20251231,齿轮,P,214419983.73,50304783.88,164115199.85,CNY
301368.SZ,20251231,精密减速器（谐波减速器）及零部件,P,143372221.64,3033306.51,140338915.13,CNY
301368.SZ,20251231,气动工具及零部件,P,113503105.03,10895661.67,102607443.36,CNY
301368.SZ,20251231,新能源传动,P,27210663.67,-19368126.91,46578790.58,CNY
301368.SZ,20251231,其他主营业务,P,3476079.07,1433981.22,2042097.85,CNY
301368.SZ,20250630,齿轮,P,103747545.25,30241942.8,73505602.45,CNY
301368.SZ,20250630,精密减速器（谐波减速器）及零部件,P,68242135.09,1919834.74,66322300.35,CNY
301368.SZ,20250630,气动工具及零部件,P,56192979.45,6985732.07,49207247.38,CNY
301368.SZ,20250630,新能源传动,P,10619020.87,-6397693.45,17016714.32,CNY
301368.SZ,20250630,其他主营业务,P,3220885.9,758249.03,2462636.87,CNY
301368.SZ,20241231,齿轮,P,239863843.58,65914552.71,173949290.87,CNY
301368.SZ,20241231,精密减速器（谐波减速器）及零部件,P,129736585.29,-1123641.78,130860227.07,CNY
301368.SZ,20241231,气动工具及零部件,P,121786750.4,15936429.46,105850320.94,CNY
301368.SZ,20241231,新能源传动,P,10689432.49,-4948721.45,15638153.94,CNY
301368.SZ,20241231,其他主营业务,P,2612130.35,-560046.92,3172177.27,CNY
301368.SZ,20240630,齿轮,P,115673786.26,31483037.04,84190749.22,CNY
301368.SZ,20240630,精密减速器（谐波减速器）及零部件,P,59886625.73,-73079.9,59959705.63,CNY
301368.SZ,20240630,气动工具及零部件,P,60605191.57,9503895.28,51101296.29,CNY
301368.SZ,20240630,新能源传动,P,4125624.37,-2805181.76,6930806.13,CNY
301368.SZ,20240630,其他主营业务,P,1115763.99,-579287.51,1695051.5,CNY
000837.SZ,20251231,零部件,P,1471863882.66,155186095.9,1316677786.76,CNY
000837.SZ,20251231,贸易类,P,17413513.73,8054856.81,9358656.92,CNY
000837.SZ,20251231,机床类,P,2064471807.55,412412833.46,1652058974.09,CNY
000837.SZ,20251231,工具类,P,370007630.74,79509172.7,290498458.04,CNY
000837.SZ,20251231,其他主营业务,P,26435529.67,3348776.15,23086753.52,CNY
000837.SZ,20251231,其他业务,P,50153215.47,39992321.39,10160894.08,CNY
000837.SZ,20251231,仪器仪表类,P,89527464.45,23493352.17,66034112.28,CNY
