trade_date,trigger_stock_count,trigger_stocks,concept_count,selected_concepts,bond_count,evaluable_trades,wins,win_rate,avg_return_pct
2026-04-08,1,"东山精密(002384,封单11.51亿)",2,2026一季报预增(-0.0373)、行业龙头(-0.0457),0,0,0,,
2026-04-09,1,"中恒电气(002364,封单10.42亿)",2,其他电源设备(0.1296)、其他电源设备Ⅲ(0.1296),2,1,1,100.0,2.5354
2026-04-10,0,,0,,0,0,0,,
2026-04-13,0,,0,,0,0,0,,
2026-04-14,0,,0,,0,0,0,,
2026-04-15,0,,0,,0,0,0,,
2026-04-16,0,,0,,0,0,0,,
2026-04-17,0,,0,,0,0,0,,
2026-04-20,0,,0,,0,0,0,,
2026-04-21,0,,0,,0,0,0,,
2026-04-22,0,,0,,0,0,0,,
2026-04-23,0,,0,,0,0,0,,
2026-04-24,0,,0,,0,0,0,,
2026-04-27,0,,0,,0,0,0,,
2026-04-28,0,,0,,0,0,0,,
2026-04-29,0,,0,,0,0,0,,
2026-04-30,0,,0,,0,0,0,,
2026-05-06,2,"东阳光(600673,封单12.61亿)、通富微电(002156,封单11.04亿)",2,消毒剂(0.0511)、国家大基金持股(-0.0123),0,0,0,,
2026-05-07,0,,0,,0,0,0,,
2026-05-08,0,,0,,0,0,0,,
2026-05-11,0,,0,,0,0,0,,
2026-05-12,0,,0,,0,0,0,,
2026-05-13,0,,0,,0,0,0,,
2026-05-14,0,,0,,0,0,0,,
2026-05-15,0,,0,,0,0,0,,
2026-05-18,1,"合肥城建(002208,封单8.83亿)",2,租售同权(0.0636)、物业管理(0.0236),0,0,0,,
2026-05-19,0,,0,,0,0,0,,
2026-05-20,0,,0,,0,0,0,,
2026-05-21,1,"京东方Ａ(000725,封单22.2亿)",2,民营医院(-0.0157)、光纤概念(-0.0279),0,0,0,,
2026-05-22,0,,0,,0,0,0,,
2026-05-25,0,,0,,0,0,0,,
2026-05-26,0,,0,,0,0,0,,
2026-05-27,0,,0,,0,0,0,,
2026-05-28,0,,0,,0,0,0,,
2026-05-29,0,,0,,0,0,0,,
2026-06-01,0,,0,,0,0,0,,
2026-06-02,0,,0,,0,0,0,,
2026-06-03,0,,0,,0,0,0,,
2026-06-04,0,,0,,0,0,0,,
2026-06-05,0,,0,,0,0,0,,
2026-06-08,0,,0,,0,0,0,,
2026-06-09,1,"圣泉集团(605589,封单7.19亿)",2,先进封装(-0.0465)、存储芯片(-0.0497),0,0,0,,
2026-06-10,0,,0,,0,0,0,,
2026-06-11,0,,0,,0,0,0,,
2026-06-12,0,,0,,0,0,0,,
2026-06-15,0,,0,,0,0,0,,
2026-06-16,0,,0,,0,0,0,,
2026-06-17,0,,0,,0,0,0,,
2026-06-18,0,,0,,0,0,0,,
2026-06-22,0,,0,,0,0,0,,
2026-06-23,0,,0,,0,0,0,,
2026-06-24,0,,0,,0,0,0,,
2026-06-25,0,,0,,0,0,0,,
2026-06-26,0,,0,,0,0,0,,
2026-06-29,0,,0,,0,0,0,,
2026-06-30,1,"水晶光电(002273,封单7.79亿)",2,光学元件(0.7389)、苹果概念(0.2104),13,12,12,100.0,5.4423
