ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,code6
300503.SZ,20190630,主轴,P,139814959.65,81879324.25,57935635.4,CNY,300503
300503.SZ,20181231,零配件及维修,P,107140462.0,40903242.58,66237219.42,CNY,300503
300503.SZ,20181231,转台、直线电机、减速器等功能部件,P,25086492.52,15008615.13,10077877.39,CNY,300503
300503.SZ,20181231,转台,P,25086492.52,15008615.13,10077877.39,CNY,300503
300503.SZ,20181231,主轴整机,P,329339864.9,175873547.53,153466317.37,CNY,300503
300503.SZ,20181231,主轴,P,329339864.9,175873547.53,153466317.37,CNY,300503
300503.SZ,20180630,零配件及维修,P,59116517.73,28921607.14,30194910.59,CNY,300503
300503.SZ,20180630,其他业务,P,3064400.91,1469449.05,1594951.86,CNY,300503
300503.SZ,20180630,主轴整机,P,156455757.05,78213028.62,78242728.43,CNY,300503
300503.SZ,20180630,主轴,P,156455757.05,78213028.62,78242728.43,CNY,300503
300503.SZ,20171231,零配件及维修,P,88086609.36,34016372.43,54070236.93,CNY,300503
300503.SZ,20171231,转台、直线电机、减速器等功能部件,P,27159774.8,11878395.43,15281379.37,CNY,300503
300503.SZ,20171231,转台,P,27159774.8,11878395.43,15281379.37,CNY,300503
300503.SZ,20171231,其他业务,P,888622.22,37143.09,851479.13,CNY,300503
300503.SZ,20171231,主轴整机,P,329533310.49,179972223.51,149561086.98,CNY,300503
300503.SZ,20171231,主轴,P,329533310.49,179972223.51,149561086.98,CNY,300503
300503.SZ,20170630,零配件及维修,P,30058093.46,13297457.18,16760636.28,CNY,300503
300503.SZ,20170630,转台、直线电机、减速器等功能部件,P,11424429.06,6363805.97,5060623.09,CNY,300503
300503.SZ,20170630,转台,P,11424429.06,6363805.97,5060623.09,CNY,300503
300503.SZ,20170630,主轴整机,P,159309119.23,88608463.53,70700655.7,CNY,300503
300503.SZ,20170630,主轴,P,159309119.23,88608463.53,70700655.7,CNY,300503
300503.SZ,20161231,零配件及维修,P,50191268.1,22036927.95,28154340.15,CNY,300503
300503.SZ,20161231,转台、直线电机、减速器等功能部件,P,18996142.37,12501155.58,6494986.79,CNY,300503
300503.SZ,20161231,转台,P,18996142.37,12501155.58,6494986.79,CNY,300503
300503.SZ,20161231,主轴整机,P,261708280.83,138711862.54,122996418.29,CNY,300503
300503.SZ,20161231,主轴,P,261708280.83,138711862.54,122996418.29,CNY,300503
300503.SZ,20160630,零配件及维修,P,22250886.06,7614101.11,14636784.95,CNY,300503
300503.SZ,20160630,主轴整机,P,134369870.22,72968966.16,61400904.06,CNY,300503
300503.SZ,20160630,主轴,P,134369870.22,72968966.16,61400904.06,CNY,300503
300503.SZ,20151231,高速加工中心,P,51526700.0,19827300.0,31699400.0,CNY,300503
300503.SZ,20151231,零配件及维修-其他,P,25232200.0,,,CNY,300503
300503.SZ,20151231,零配件及维修-PCB行业,P,23924000.0,,,CNY,300503
300503.SZ,20151231,零配件及维修,P,49156193.65,29812328.53,19343865.12,CNY,300503
300503.SZ,20151231,金属雕铣,P,12917400.0,,,CNY,300503
